icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
NZAR,AMZ,Ardmore Airport,Manurewa,NZ,OC,medium_airport,3,4630,-37.02970,174.97301
NZCH,CHC,Christchurch International Airport,Christchurch,NZ,OC,large_airport,3,10787,-43.48903,172.53206
NZGS,GIS,Gisborne Airport,Gisborne,NZ,OC,medium_airport,5,4298,-38.66330,177.97800
NZHN,HLZ,Hamilton International Airport,Hamilton,NZ,OC,medium_airport,5,6755,-37.86696,175.33195
NZKK,KKE,Kerikeri Airport,Kerikeri,NZ,OC,medium_airport,4,3904,-35.25915,173.91332
NZLX,ALR,Alexandra Aerodrome,Alexandra,NZ,OC,medium_airport,3,3937,-45.21050,169.37111
NZMS,MRO,Hood Airport,Masterton,NZ,OC,medium_airport,5,4101,-40.97463,175.63454
NZNP,NPL,New Plymouth Airport,New Plymouth,NZ,OC,medium_airport,3,4298,-39.00860,174.17900
NZNS,NSN,Nelson Airport,Nelson,NZ,OC,medium_airport,4,4420,-41.29671,173.22432
NZNV,IVC,Invercargill Airport,Invercargill,NZ,OC,medium_airport,4,7251,-46.41240,168.31300
NZOH,OHA,RNZAF Base Ohakea,,NZ,OC,medium_airport,3,8028,-40.20600,175.38800
NZOU,OAM,Oamaru Airport,,NZ,OC,medium_airport,3,4210,-44.97000,171.08200
NZPM,PMR,Palmerston North Airport,Palmerston North,NZ,OC,medium_airport,3,6240,-40.32060,175.61700
NZPP,PPQ,Paraparaumu Airport,,NZ,OC,medium_airport,5,4429,-40.90470,174.98900
NZRO,ROT,Rotorua Regional Airport,Rotorua,NZ,OC,medium_airport,3,5321,-38.10920,176.31700
NZTG,TRG,Tauranga Airport,Tauranga,NZ,OC,medium_airport,5,5988,-37.67190,176.19600
NZTU,TIU,Timaru Airport,,NZ,OC,medium_airport,3,4200,-44.30280,171.22501
NZWB,BHE,Woodbourne Airport,Blenheim,NZ,OC,medium_airport,3,4675,-41.51830,173.87000
NZWK,WHK,Whakatāne Airport,Whakatāne,NZ,OC,medium_airport,3,4200,-37.92222,176.91696
NZWP,,RNZAF Base Auckland-Whenuapai,,NZ,OC,medium_airport,3,6665,-36.78780,174.63001
NZWU,WAG,Wanganui Airport,Wanganui,NZ,OC,medium_airport,6,4521,-39.96347,175.02444
OEJN,JED,King Abdulaziz International Airport,Jeddah,SA,AS,large_airport,3,13123,21.68024,39.15744
OKKK,KWI,Kuwait International Airport,Kuwait City,KW,AS,large_airport,3,15026,29.22449,47.96981
OLBA,BEY,Beirut Rafic Hariri International Airport,Beirut,LB,AS,large_airport,3,12467,33.81983,35.48744
OMAM,DHF,Al Dhafra Air Base,,AE,AS,medium_airport,3,12012,24.24820,54.54770
ORAA,IQA,Al Asad Air Base,Hīt,IQ,AS,medium_airport,3,13124,33.78560,42.44120
PAAQ,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,US,NA,medium_airport,3,6006,61.59490,-149.08901
PABE,BET,Bethel Airport,Bethel,US,NA,medium_airport,3,6400,60.77980,-161.83800
PABI,BIG,Allen Army Airfield,Delta Junction Ft Greely,US,NA,medium_airport,3,9000,63.99450,-145.72200
PADQ,ADQ,Kodiak Airport,Kodiak,US,NA,medium_airport,3,7534,57.75000,-152.49400
PAEN,ENA,Kenai Municipal Airport,Kenai,US,NA,medium_airport,3,7855,60.57095,-151.24517
PAFA,FAI,Fairbanks International Airport,Fairbanks,US,NA,medium_airport,4,11800,64.81510,-147.85600
PAIL,ILI,Iliamna Airport,Iliamna,US,NA,medium_airport,4,5086,59.75440,-154.91100
PAKN,AKN,King Salmon Airport,King Salmon,US,NA,medium_airport,3,8901,58.67784,-156.65196
PAMR,MRI,Merrill Field,Anchorage,US,NA,medium_airport,3,4000,61.21279,-149.84399
PANC,ANC,Ted Stevens Anchorage International Airport,Anchorage,US,NA,large_airport,3,12400,61.17900,-149.99256
PANN,ENN,Nenana Municipal Airport,Nenana,US,NA,medium_airport,3,4600,64.54877,-149.07452
PHJR,JRF,Kalaeloa Airport,Kapolei,US,OC,medium_airport,3,8365,21.30740,-158.07001
PHNL,HNL,Daniel K. Inouye International Airport,"Honolulu, Oahu",US,OC,large_airport,6,12360,21.31839,-157.92567
RCAY,,Gangshan Air Force Base,Kaohsiung (Gangshan),TW,AS,medium_airport,3,8019,22.78250,120.26300
RCKU,CYI,Chiayi Airport,Shuishang,TW,AS,medium_airport,3,10007,23.46258,120.39054
RJSH,HHE,JMSDF Hachinohe Air Base / Hachinohe Airport,Hachinohe,JP,AS,medium_airport,3,7380,40.55118,141.46543
RJTT,HND,Tokyo Haneda International Airport,Tokyo,JP,AS,large_airport,4,11024,35.54968,139.78696
RKSI,ICN,Incheon International Airport,Seoul,KR,AS,large_airport,4,13123,37.46910,126.45100
RKSW,SWU,Suwon Airport,Suwon,KR,AS,medium_airport,3,9000,37.23940,127.00700
SAWP,PMQ,Perito Moreno Jalil Hamer Airport,Perito Moreno,AR,SA,medium_airport,3,5577,-46.53790,-70.97870
