icao,iata,name,city,country,region,continent,kind,runways,longest_ft,lat,lon
KJLN,JLN,Joplin Regional Airport,Joplin,US,US-MO,NA,medium_airport,2,6502,37.15180,-94.49830
KJMS,JMS,Jamestown Regional Airport,Jamestown,US,US-ND,NA,medium_airport,2,6502,46.92970,-98.67820
KJNX,,Johnston Regional Airport,Smithfield,US,US-NC,NA,medium_airport,1,5500,35.54090,-78.39030
KJQF,USA,Concord-Padgett Regional Airport,Concord,US,US-NC,NA,medium_airport,1,7402,35.38780,-80.70910
KJST,JST,John Murtha Johnstown Cambria County Airport,Johnstown,US,US-PA,NA,medium_airport,2,7004,40.31610,-78.83390
KJWY,,Mid-Way Regional Airport,Midlothian/Waxahachie,US,US-TX,NA,medium_airport,1,6500,32.45870,-96.91240
KJXN,JXN,Jackson County Airport/Reynolds Field,Jackson,US,US-MI,NA,medium_airport,2,5351,42.26051,-84.46302
KKLS,KLS,Southwest Washington Regional Airport,Kelso,US,US-WA,NA,medium_airport,1,4391,46.11800,-122.89800
KL45,,Bakersfield International Airport,Bakersfield,US,US-CA,NA,medium_airport,1,4000,35.32480,-118.99600
KL71,,California City Municipal Airport,California City,US,US-CA,NA,medium_airport,1,6027,35.15138,-118.01606
KLAA,LAA,Southeast Colorado Regional Airport,Lamar,US,US-CO,NA,medium_airport,2,6304,38.06641,-102.69137
KLAF,LAF,Purdue University Airport,West Lafayette,US,US-IN,NA,medium_airport,2,6600,40.41287,-86.93936
KLAL,LAL,Lakeland Linder International Airport,Lakeland,US,US-FL,NA,medium_airport,2,8500,27.98927,-82.02071
KLAN,LAN,Capital Region International Airport,Lansing,US,US-MI,NA,medium_airport,3,8506,42.77758,-84.58572
KLAR,LAR,Laramie Regional Airport,Laramie,US,US-WY,NA,medium_airport,2,8503,41.31210,-105.67500
KLAS,LAS,Harry Reid International Airport,Las Vegas,US,US-NV,NA,large_airport,4,14835,36.08336,-115.15182
KLAW,LAW,Lawton Fort Sill Regional Airport,Lawton,US,US-OK,NA,medium_airport,1,8599,34.56770,-98.41660
KLAX,LAX,Los Angeles International Airport,Los Angeles,US,US-CA,NA,large_airport,4,12894,33.94250,-118.40800
KLBB,LBB,Lubbock Preston Smith International Airport,Lubbock,US,US-TX,NA,medium_airport,3,11500,33.66360,-101.82300
KLBE,LBE,Arnold Palmer Regional Airport,Latrobe,US,US-PA,NA,medium_airport,1,8222,40.27590,-79.40480
KLBF,LBF,North Platte Regional Airport Lee Bird Field,North Platte,US,US-NE,NA,medium_airport,2,8001,41.12620,-100.68400
KLBL,LBL,Liberal Mid-America Regional Airport,Liberal,US,US-KS,NA,medium_airport,2,7105,37.04420,-100.96000
KLBT,LBT,Lumberton Regional Airport,Lumberton,US,US-NC,NA,medium_airport,2,5505,34.61077,-79.05943
KLBX,LJN,Texas Gulf Coast Regional Airport,Angleton,US,US-TX,NA,medium_airport,1,7000,29.10860,-95.46210
KLCH,LCH,Lake Charles Regional Airport,Lake Charles,US,US-LA,NA,medium_airport,2,6500,30.12610,-93.22330
KLCK,LCK,Rickenbacker International Airport,Columbus,US,US-OH,NA,medium_airport,2,12103,39.81380,-82.92780
KLEB,LEB,Lebanon Municipal Airport,Lebanon,US,US-NH,NA,medium_airport,2,5496,43.62610,-72.30420
KLEE,LEE,Leesburg International Airport,Leesburg,US,US-FL,NA,medium_airport,2,6300,28.82310,-81.80870
KLEX,LEX,Blue Grass Airport,Lexington,US,US-KY,NA,medium_airport,2,7004,38.03507,-84.60674
KLFI,LFI,Langley Air Force Base,Hampton,US,US-VA,NA,medium_airport,1,10002,37.08290,-76.36050
KLFK,LFK,Angelina County Airport,Lufkin,US,US-TX,NA,medium_airport,2,5400,31.23400,-94.75000
KLFT,LFT,Lafayette Regional Airport,Lafayette,US,US-LA,NA,medium_airport,3,8000,30.20530,-91.98760
KLGA,LGA,LaGuardia Airport,New York,US,US-NY,NA,large_airport,2,7002,40.77720,-73.87260
KLGB,LGB,Long Beach International Airport,Long Beach,US,US-CA,NA,large_airport,3,10000,33.81652,-118.14989
KLGU,LGU,Logan-Cache Airport,Logan,US,US-UT,NA,medium_airport,2,9020,41.79120,-111.85200
KLIT,LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US,US-AR,NA,medium_airport,3,8273,34.72922,-92.22359
KLLQ,,Monticello Municipal Ellis Field,Monticello,US,US-AR,NA,medium_airport,1,5020,33.63860,-91.75100
KLMT,LMT,Crater Lake-Klamath Regional Airport,Klamath Falls,US,US-OR,NA,medium_airport,2,10302,42.15610,-121.73300
KLND,LND,Hunt Field,Lander,US,US-WY,NA,medium_airport,1,5000,42.81520,-108.73000
KLNK,LNK,Lincoln Airport,Lincoln,US,US-NE,NA,medium_airport,3,12901,40.84488,-96.76178
KLNS,LNS,Lancaster Airport,Lancaster,US,US-PA,NA,medium_airport,2,6933,40.12170,-76.29610
KLOL,LOL,Derby Field,Lovelock,US,US-NV,NA,medium_airport,2,5529,40.06640,-118.56500
KLOU,LOU,Bowman Field,Louisville,US,US-KY,NA,medium_airport,2,4358,38.22800,-85.66370
KLOZ,LOZ,London-Corbin Airport/Magee Field,London,US,US-KY,NA,medium_airport,1,5750,37.08220,-84.08490
KLRD,LRD,Laredo International Airport,Laredo,US,US-TX,NA,medium_airport,3,8743,27.54380,-99.46160
KLRF,LRF,Little Rock Air Force Base,Jacksonville,US,US-AR,NA,medium_airport,2,12001,34.91690,-92.14970
KLRU,LRU,Las Cruces International Airport,Las Cruces,US,US-NM,NA,medium_airport,3,7506,32.28940,-106.92200
KLSE,LSE,La Crosse Regional Airport,La Crosse,US,US-WI,NA,medium_airport,3,8742,43.87900,-91.25670
KLSF,LSF,Lawson Army Air Field,Fort Benning,US,US-GA,NA,medium_airport,1,10002,32.33255,-84.98800
KLSV,LSV,Nellis Air Force Base,Las Vegas,US,US-NV,NA,medium_airport,2,10120,36.23620,-115.03400
KLTS,LTS,Altus Air Force Base,Altus,US,US-OK,NA,medium_airport,3,13440,34.66710,-99.26670
KLUF,LUF,Luke Air Force Base,Glendale,US,US-AZ,NA,medium_airport,2,10000,33.53500,-112.38300
KLUK,LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,US-OH,NA,medium_airport,3,6101,39.10236,-84.41894
KLVM,LVM,Mission Field,Livingston,US,US-MT,NA,medium_airport,3,5701,45.69940,-110.44800
KLVS,LVS,Las Vegas Municipal Airport,Las Vegas,US,US-NM,NA,medium_airport,2,8199,35.65420,-105.14200
KLWB,LWB,Greenbrier Valley Airport,Lewisburg,US,US-WV,NA,medium_airport,1,7003,37.85791,-80.40044
KLWM,LWM,Lawrence Municipal Airport,Lawrence,US,US-MA,NA,medium_airport,2,5001,42.71720,-71.12340
KLWS,LWS,Lewiston Nez Perce County Airport,Lewiston,US,US-ID,NA,medium_airport,2,6511,46.37450,-117.01500
KLWT,LWT,Lewistown Municipal Airport,Lewistown,US,US-MT,NA,medium_airport,3,6100,47.04843,-109.46614
KLYH,LYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,US,US-VA,NA,medium_airport,2,7100,37.32670,-79.20040
KMAF,MAF,Midland International Air and Space Port,Midland,US,US-TX,NA,medium_airport,4,9501,31.94250,-102.20200
KMBG,MBG,Mobridge Municipal Airport,Mobridge,US,US-SD,NA,medium_airport,2,4410,45.54650,-100.40800
KMBS,MBS,MBS International Airport,Freeland,US,US-MI,NA,medium_airport,2,8002,43.53318,-84.08310
KMCB,MCB,McComb-Pike County Airport / John E Lewis Field,McComb,US,US-MS,NA,medium_airport,1,5000,31.17850,-90.47190
KMCC,MCC,McClellan Airfield,Sacramento,US,US-CA,NA,medium_airport,1,10599,38.66760,-121.40100
KMCE,MCE,Merced Regional Macready Field,Merced,US,US-CA,NA,medium_airport,1,5914,37.28470,-120.51400
KMCF,MCF,MacDill Air Force Base,Tampa,US,US-FL,NA,medium_airport,1,11421,27.84930,-82.52120
KMCI,MCI,Kansas City International Airport,Kansas City,US,US-MO,NA,large_airport,3,10801,39.30170,-94.71389
KMCK,MCK,McCook Ben Nelson Regional Airport,McCook,US,US-NE,NA,medium_airport,3,6450,40.20779,-100.59279
KMCN,MCN,Middle Georgia Regional Airport,Macon,US,US-GA,NA,medium_airport,2,6500,32.69280,-83.64920
KMCO,MCO,Orlando International Airport,Orlando,US,US-FL,NA,large_airport,4,12005,28.42940,-81.30900
KMCW,MCW,Mason City Municipal Airport,Mason City,US,US-IA,NA,medium_airport,2,6501,43.15980,-93.32972
KMDH,MDH,Southern Illinois Airport,Murphysboro,US,US-IL,NA,medium_airport,3,6506,37.77810,-89.25200
KMDT,MDT,Harrisburg International Airport,Harrisburg,US,US-PA,NA,medium_airport,1,10001,40.19284,-76.76233
KMDW,MDW,Chicago Midway International Airport,Chicago,US,US-IL,NA,large_airport,4,6522,41.78600,-87.75240
KMEI,MEI,Key Field / Meridian Regional Airport,Meridian,US,US-MS,NA,medium_airport,2,10003,32.33260,-88.75190
